service_id,date,exception_type
毎日,20211103,1
毎日,20211123,1
毎日,20211231,1
毎日,20220101,1
毎日,20220102,1
毎日,20220103,1
毎日,20220110,1
毎日,20220211,1
毎日,20220223,1
毎日,20220321,1
毎日,20220429,1
毎日,20220503,1
毎日,20220504,1
毎日,20220505,1
毎日,20220718,1
毎日,20220811,1
毎日,20220919,1
毎日,20220923,1
▲,20211103,2
▲,20211123,2
▲,20211231,2
▲,20220101,2
▲,20220102,2
▲,20220103,2
▲,20220110,2
▲,20220211,2
▲,20220223,2
▲,20220321,2
▲,20220429,2
▲,20220503,2
▲,20220504,2
▲,20220505,2
▲,20220718,2
▲,20220811,2
▲,20220919,2
▲,20220923,2
●,20211103,2
●,20211123,2
●,20211231,2
●,20220101,2
●,20220102,2
●,20220103,2
●,20220110,2
●,20220211,2
●,20220223,2
●,20220321,2
●,20220429,2
●,20220503,2
●,20220504,2
●,20220505,2
●,20220718,2
●,20220811,2
●,20220919,2
●,20220923,2
