service_id,date,exception_type
毎日,20200429,1
毎日,20200503,1
毎日,20200504,1
毎日,20200505,1
毎日,20200506,1
毎日,20200723,1
毎日,20200724,1
毎日,20200810,1
毎日,20200813,1
毎日,20200814,1
毎日,20200815,1
毎日,20200921,1
毎日,20200922,1
▲,20200429,2
▲,20200503,2
▲,20200504,2
▲,20200505,2
▲,20200506,2
▲,20200723,2
▲,20200724,2
▲,20200810,2
▲,20200813,2
▲,20200814,2
▲,20200815,2
▲,20200921,2
▲,20200922,2
●,20200429,2
●,20200503,2
●,20200504,2
●,20200505,2
●,20200506,2
●,20200723,2
●,20200724,2
●,20200810,2
●,20200813,2
●,20200814,2
●,20200815,2
●,20200921,2
●,20200922,2
