service_id,date,exception_type
毎日,20221010,1
毎日,20221103,1
毎日,20221123,1
毎日,20221229,1
毎日,20221230,1
毎日,20221231,1
毎日,20230101,1
毎日,20230102,1
毎日,20230103,1
毎日,20230109,1
毎日,20230211,1
毎日,20230223,1
毎日,20230321,1
▲,20221010,2
▲,20221103,2
▲,20221123,2
▲,20221229,2
▲,20221230,2
▲,20221231,2
▲,20230101,2
▲,20230102,2
▲,20230103,2
▲,20230109,2
▲,20230211,2
▲,20230223,2
▲,20230321,2
●,20221010,2
●,20221103,2
●,20221123,2
●,20221229,2
●,20221230,2
●,20221231,2
●,20230101,2
●,20230102,2
●,20230103,2
●,20230109,2
●,20230211,2
●,20230223,2
●,20230321,2
